t,x,raw,speed
55,59,0.0,5.353103246202019
55,60,0.0,5.386497873466226
55,61,0.0,5.41624040959207
55,62,0.0,5.442784818953361
55,63,0.0,5.466115691033472
55,64,0.0,5.492963455618654
55,65,0.0,5.508461097927188
55,66,0.0,5.520283891515754
55,67,0.0,5.528705609147545
55,68,0.0,5.533778708473391
55,69,0.0,5.53666128491262
55,70,0.0,5.565169429007595
55,71,0.0,5.59194297592181
55,72,0.0,5.616832953934837
55,73,0.0,5.641404545692413
55,74,0.0,5.665360572571502
55,75,0.0,5.688439123609074
55,76,0.0,5.710393214758955
55,77,0.0,5.73124734343795
55,78,0.0,5.75129141063655
55,79,0.0,5.770318156195997
55,80,0.0,5.788345888223742
55,81,0.0,5.805696785534389
55,82,0.0,5.822190458116151
55,83,0.0,5.838178690184046
55,84,0.0,5.854394669647897
55,85,0.0,5.870675130102493
55,86,0.0,5.887401546837406
55,87,0.0,5.904063461631745
55,88,0.0,5.920076271899814
55,89,0.0,5.924970208227413
55,90,0.0,5.9292560282335804
55,91,0.0,5.933470130449099
55,92,0.0,5.938151466680675
55,93,0.0,5.9432976556183945
55,94,0.0,5.949812434088734
55,95,0.0,5.933724519513726
55,96,0.0,5.883988672928974
55,97,0.0,5.8178845324987325
55,98,0.0,5.768157243946787
55,99,0.0,5.682043343567673
55,100,0.0,5.606124518774521
55,101,0.0,5.529464114994818
55,102,0.0,5.451802683153609
55,103,0.0,5.3734245225860695
55,104,0.0,5.29421217931718
55,105,0.0,5.215149712251731
55,106,0.0,5.135769096957619
55,107,0.0,5.056332121324696
55,108,0.0,4.9770574540493415
55,109,0.0,4.899308957676358
55,110,0.0,4.820261953089757
55,111,0.0,4.740581110355011
55,112,0.0,4.678453217441083
55,113,0.0,4.616152998476065
55,114,0.0,4.5880513414323545
55,115,0.0,4.5601725746192665
55,116,0.0,4.533552729346549
55,117,0.0,4.50777771277976
55,118,0.0,4.482424285818445
55,119,0.0,4.484050037985677
56,0,0.0,1.030859006582223
